Month;Total Fossil Fuels Production;Nuclear Electric Power Production;Total Renewable Energy Production;Total Primary Energy Production;Primary Energy Imports;Primary Energy Exports;Primary Energy Net Imports;Primary Energy Stock Change and Other;Total Fossil Fuels Consumption;Nuclear Electric Power Consumption;Total Renewable Energy Consumption;Total Primary Energy Consumption
01.02.1978;3,676065;0,238869;0,391866;4,3068;1,42092;0,056798;1,364122;1,381459;6,416481;0,238869;0,391866;7,052381
01.03.1978;4,352372;0,245611;0,433459;5,031442;1,646151;0,064605;1,581546;0,352515;6,280715;0,245611;0,433459;6,965503
01.04.1978;4,705855;0,192342;0,434379;5,332575;1,466543;0,132187;1,334356;-0,497;5,537677;0,192342;0,434379;6,169931
01.05.1978;4,959267;0,223373;0,475883;5,658523;1,479371;0,181963;1,297408;-0,617937;5,63302;0,223373;0,475883;6,337994
01.06.1978;4,7963;0,242728;0,432628;5,471656;1,512571;0,21968;1,292891;-0,614643;5,469015;0,242728;0,432628;6,149904
01.07.1978;4,632517;0,273603;0,431461;5,337581;1,600652;0,160129;1,440523;-0,437914;5,629409;0,273603;0,431461;6,34019
01.08.1978;4,841779;0,280082;0,408417;5,530277;1,601528;0,176105;1,425422;-0,459619;5,801865;0,280082;0,408417;6,496081
01.09.1978;4,564316;0,242769;0,392287;5,199372;1,682186;0,183946;1,49824;-0,61006;5,446963;0,242769;0,392287;6,087552
01.10.1978;4,959112;0,251605;0,379436;5,590153;1,616595;0,222759;1,393835;-0,558751;5,788479;0,251605;0,379436;6,425237
01.11.1978;4,85622;0,272438;0,379078;5,507736;1,666014;0,236659;1,429356;-0,251623;6,02842;0,272438;0,379078;6,685469
01.12.1978;4,770957;0,278067;0,407564;5,456588;1,804366;0,208871;1,595495;0,422408;6,783142;0,278067;0,407564;7,474491
01.01.1979;4,742426;0,302351;0,447796;5,492573;1,769279;0,174569;1,594709;1,004923;7,336166;0,302351;0,447796;8,092205
01.02.1979;4,408445;0,281883;0,390487;5,080815;1,515101;0,15928;1,355821;0,973569;6,732512;0,281883;0,390487;7,410205
01.03.1979;4,952546;0,264739;0,457799;5,675084;1,708567;0,241045;1,467522;0,007815;6,42199;0,264739;0,457799;7,150421
01.04.1979;4,770662;0,200369;0,445932;5,416962;1,50324;0,233873;1,269367;-0,398909;5,635417;0,200369;0,445932;6,28742
01.05.1979;4,977269;0,163455;0,48908;5,629804;1,587866;0,250145;1,337721;-0,620881;5,688216;0,163455;0,48908;6,346644
01.06.1979;4,847761;0,174776;0,441683;5,464221;1,581381;0,250673;1,330708;-0,651859;5,520908;0,174776;0,441683;6,14307
01.07.1979;4,524046;0,226552;0,424513;5,175111;1,669406;0,265735;1,40367;-0,302246;5,619578;0,226552;0,424513;6,276536
